correct/anomalous;ra;dec;parallax;pmra;pmdec;astrometric_excess_noise;ruwe;phot_g_mean_mag;phot_bp_rp_excess_factor;bp_rp
1;219.9513947971027;-60.97260594113414;0.3686733130392877;-2.5592033001973267;-2.056463432396706;0.33498836;0.8605461;16.46964;1.5106275;3.155283
1;219.79077724208526;-60.981535596993204;;;;3.9337583;;21.13262;1.5999614;1.7499218
1;219.80370936836655;-60.97539570118931;;;;0.0;;21.190882;;
1;219.77826674978178;-60.976623513465846;;;;4.193961;;21.050072;1.4678855;1.568964
1;219.78561211368495;-60.974523633615384;;;;3.8809063;;20.967726;;
1;219.79834534546544;-61.080790489403604;0.22308521051682031;-10.185935571587429;-3.3325532887278513;0.0;0.98013216;18.536125;1.2556486;1.6757717
1;219.79558508068357;-61.080403442406336;0.5266066691809955;-8.982735829213052;-5.08622825014705;0.0;0.9836276;19.32666;1.1312047;1.7286358
1;219.7919047992104;-61.08034338967021;0.4639319319304297;-1.0878946711680306;-1.9240710667869494;0.47920403;1.0170141;19.560074;1.1090238;1.9282074
1;219.78135721739977;-61.08049332236784;;;;6.1662836;;20.989223;;
1;219.7822305477058;-61.08055266510029;0.2428302577726632;-8.332568752279727;-4.605828067760708;0.0;0.960652;18.35695;1.3813727;2.1203327
1;219.77831254546314;-61.080266334874096;0.36006007498173653;-6.719367316009086;-3.517587133017646;0.0;0.9238629;17.681692;1.2602699;1.5702991
1;219.79799350784626;-61.076760203115434;0.5915657016469805;-5.974060313106033;-1.0239232752863325;0.0;1.0414964;19.173635;1.351173;1.9479332
1;219.78852555830193;-61.07778452354381;-0.47778815415044984;-3.9596440460886813;-1.8367403728489347;0.5358648;1.008568;19.832579;1.1705042;2.2054157
1;219.79272885551958;-61.076769862558784;0.28682864946302367;-6.50086298438839;-3.7436163093847172;0.21998401;1.0160289;18.631758;1.2734573;1.7117596
1;219.7895986122238;-61.07422650084651;0.17714678620170288;-6.5990148294232425;-7.326102866751263;1.406009;1.0844321;19.859262;;
1;219.80319945042297;-61.08167625875483;0.31952573410714474;-5.23407276207878;-2.814526159653999;0.0;1.0186225;20.394903;;
1;219.80287325023968;-61.08204328363541;0.5349983939616487;-5.4420466145197395;-4.214217973859867;0.24708156;1.0044433;18.213678;1.4031415;2.1301441
1;219.78684062690672;-61.07837164141385;1.2159605245394833;-5.584562404110239;-4.214834295713936;1.1924669;1.0512534;20.415394;1.2379794;1.7197075
1;219.80278055401286;-61.081046241488515;1.023578705029495;-5.453929623819201;-3.927269181126082;0.46735868;1.0396982;19.36074;1.3188194;2.1202621
1;219.80497134358018;-61.08126713153081;0.2733710037248198;-1.615142695159123;0.39532036641305013;0.0;1.0078441;20.16851;1.1704661;1.9017677
1;219.79663398367413;-61.07533772265693;-0.5065479966899221;-3.6754832139454585;-2.1488809464581453;2.1979034;1.0763639;20.40313;4.771985;1.6833229
1;219.79233136384244;-61.072246599845805;0.44441595973391373;-4.291603727530542;-0.6595983632184186;2.5936382;1.1252583;20.543394;;
1;219.79021406328354;-61.07319088522927;;;;20.391483;;21.081991;;
1;219.79056654734154;-61.07324058304965;0.47378852484526934;-6.060968755265643;-0.7723052084310806;2.1734967;1.0287971;20.686071;2.9798532;1.6504841
1;219.79429038694423;-61.075014633038776;-0.8664333918453091;-5.901423665525501;-3.6651789682284974;3.1767452;0.96313566;20.807325;1.6830385;1.7503929
1;219.79467620039725;-61.07738138509631;-0.07222816594443413;-7.650408405258203;-3.775040817371544;3.4584045;1.1287572;20.496723;1.3021511;1.953846
1;219.78761582057163;-61.0768864006562;-0.5272673118133553;-6.071296550763323;-3.222758456840634;0.0;0.99472755;20.496044;1.1044062;2.2286034
1;219.8011822518328;-61.08055635463348;4.052077595472538;-4.621557447497288;-2.6449891456758747;0.0;1.080568;20.848076;1.2644719;1.6285858
1;219.79213448646357;-61.07869215886569;-0.5231964331064306;-3.370985386951884;-5.142180295337914;2.2416596;1.0874449;20.74006;1.2684375;1.5035343
1;219.80570216356196;-61.08219193543836;;;;3.254144;;20.97934;1.3493189;1.6703892
1;219.79458908042844;-61.07945085857654;-1.5594369850189067;-10.635558491317536;-0.4751704839003331;3.3814778;1.0282154;20.773863;1.0804921;1.193018
1;219.78938864997494;-61.07868015695065;-0.8036574083845313;-1.4542046601481402;-4.861217524659095;3.6563492;1.0057399;20.882414;1.2694346;1.2609196
1;219.7898782980377;-61.07972196843713;-1.0245523703199968;-4.538529788253459;-3.4247055822531753;1.8513217;1.0903579;20.523085;1.1717412;1.5610104
1;219.7869481902961;-61.080211946436215;2.463877938273792;-5.584128152757215;-5.2910676984761285;3.2048628;1.1547271;20.695019;5.207391;1.2008591
1;219.78293359632596;-61.07997775319057;0.5752393446927275;-7.147874381661227;1.0504871709636714;0.0;0.97927064;20.57077;1.3578693;1.9463978
1;219.78386935828703;-61.08076664454703;-0.3103442734358832;-5.348522508526711;-3.1225135804050486;0.0;1.0137446;20.412191;1.5729457;1.6546726
1;219.79953833199735;-61.079121285098296;;;;4.5958767;;21.05805;2.5676007;-0.6812248
1;219.77972344854655;-61.08035630885792;;;;4.776082;;21.049839;;
1;219.8007748669663;-61.08009927420394;;;;6.933432;;21.01965;1.5824119;2.5197983
1;219.79440631082602;-61.07828714538511;-1.6861606433557876;-6.415658543679739;-6.221536652287841;4.561407;1.1912352;20.852362;;
1;219.7911165284628;-61.07838537767306;;;;1.8946892;;20.98954;1.6445844;2.9947128
1;219.78892695316696;-61.08064154536142;0.16476319926399335;-5.3504649102033355;-2.943827552527635;0.0;0.97674483;16.94262;1.3105727;1.8165207
1;219.78598945197274;-61.08066213155979;0.17043946075775263;-5.202084937610518;-3.021943865951742;0.0;1.0210675;15.390634;1.2983079;1.6525002
1;219.79556440235913;-61.078665518753326;0.28121666412369073;-3.258576270776219;-1.1741842811855239;0.9773651;1.0942222;19.57696;2.0658562;3.3493195
1;219.78487925026477;-61.07820922808262;0.42632439068315653;-5.5197751698650075;-1.8971629277914652;1.774266;1.1227112;19.478708;1.8935137;3.6713943
1;219.7937621214719;-61.073507167452355;0.18310025997364462;-5.018178995355828;-3.0300504658768155;0.0;0.9931476;16.005686;1.3246006;1.8558064
1;219.7914759655072;-61.07254464096877;0.33195255334504686;0.8386383953813965;-6.996016819496376;0.0;0.9731565;17.351608;1.2926453;1.5190468
1;219.77765727722738;-61.0619654122887;;;;6.326819;;20.87265;1.3986034;2.1686325
1;219.76040324004285;-61.07643348409759;0.21216474203660118;-5.345571567704839;-1.8178702762906638;0.21994866;1.0501639;17.56186;1.3443073;1.6442261
1;219.76037809234043;-61.076960610728996;-0.8127829211323665;-6.640907508402453;-4.757104065465592;2.9836195;1.3573955;19.86342;4.019646;3.0101604
1;219.75507888869825;-61.07699831795833;0.43272454852243786;-5.310879644784983;-3.1833768504652484;0.21796308;1.0393146;18.302639;1.247166;1.6590462
1;219.75261491109393;-61.07681793106451;0.2065885229405386;-4.6162813004325765;-3.6708202179977825;0.9984983;1.0340861;19.81529;1.2375115;2.2054253
1;219.75888142363684;-61.07502475057345;0.2775231040788301;-4.715696859202793;-3.614808150250343;0.02246179;1.0324061;17.294554;1.3020662;1.5274982
1;219.752248473739;-61.0758326194447;0.3973946411878508;-5.354978823187416;-3.4714423829560643;1.037111;1.0865265;19.497753;1.2904825;1.9395218
1;219.75346907584296;-61.07742831698869;0.8256285458632243;-5.829614761830943;-4.381002560359609;1.1664236;1.034732;20.122559;;
1;219.76024604923887;-61.07477324645533;-1.3124888485172652;-4.595085531796941;-5.577230614899553;4.049675;1.3257449;20.403168;2.0439718;1.950386
1;219.75635787360173;-61.07737175187266;;;;0.0;;20.990173;1.1155509;1.4078617
1;219.76213211502233;-61.07754728496364;;;;4.2904596;;21.086973;;
1;219.75918295112282;-61.07576163263106;0.4131553868297501;-4.281536376850737;-3.6324846495848635;0.0;0.9968576;17.104267;1.2926425;1.3576813
1;219.75684746389194;-61.0744106015009;2.6524967863085824;-4.214642350851182;-0.2981539466418569;2.2504737;1.1971552;19.720198;2.2548018;2.5310879
1;219.76105329910658;-61.07792657808007;-0.09017940315596057;-4.736751048775913;-3.2857295017999437;0.865123;1.0529393;19.755785;1.2252765;1.820734
1;219.77265045773635;-61.070754853267026;0.7516047771747447;-7.920597614961468;-4.678764847479522;1.1363531;1.0834368;19.785013;1.8320755;2.8677044
1;219.7644410551664;-61.07187517569231;0.4775216587512261;-6.642418597516793;-5.220920002516769;0.39966568;1.0248487;19.585735;1.4241707;2.1327477
1;219.77113182354654;-61.075635755794394;-1.3680312502630836;-6.546093767300602;-8.357663285901824;3.0316157;1.1542853;20.279333;2.4552777;2.9122868
1;219.77194870801847;-61.06806638311809;0.4847215735781586;-4.410850945245249;-0.9082367710713012;0.09561888;1.0794472;17.147333;1.2824476;1.420187
1;219.77689134169;-61.07232203082157;0.22730029494312887;-5.292350509343349;-3.4535105725480797;0.69245195;1.0153439;19.106937;1.5150416;2.7902908
1;219.7838351857012;-61.06669339602862;0.4808752427013478;-6.869415254596749;-3.099332222339715;2.1664152;1.1081595;19.731083;1.6929992;3.2152672
1;219.78692591670094;-61.07492698065625;0.657957684244685;-14.846720124964808;-4.803402427500833;2.8731952;1.8589712;18.487514;2.6926584;2.2164364
1;219.77620735883866;-61.07926849431312;;;;3.2627442;;21.279934;;
1;219.77675082587996;-61.078936473987234;1.0155941663163561;-5.928453154608333;-1.2459802563760765;0.0;0.9979273;19.66817;1.4767102;2.459652
1;219.77194548056536;-61.079370474325074;0.3599855813665104;-5.550036134581433;-3.514009349196796;0.3030717;1.0303838;18.189512;1.2829816;1.747509
1;219.7754290173111;-61.078475370869945;1.7406058164121967;-9.785420871675038;-3.914248965618557;2.4237852;1.1202906;20.839851;;
1;219.77454681011085;-61.07830241351532;;;;2.3748064;;18.196545;;
1;219.77430969143032;-61.078217791092236;2.5021362608119264;1.6138731036769625;10.726688213439814;3.6989481;5.7982078;17.292723;1.977226;1.8154392
1;219.77238457560975;-61.07831178157749;0.6756743159909868;-12.97615269630867;1.9619128248622335;0.0;1.0144517;19.402441;1.3293464;1.961441
1;219.78560981011293;-61.075503692188754;1.1834520318065247;-3.506070549096773;-1.9406756165706378;1.2140279;1.3748837;18.463503;1.6650555;2.0424385
1;219.777186428436;-61.07609020604581;;;;2.4362419;;20.628922;;
1;219.7766837051637;-61.07659118671814;0.6086144874317309;-9.330233561389205;-2.6733349178258727;4.787699;0.93421453;20.698635;3.961292;2.2158947
1;219.7766933050433;-61.07634873997795;0.2952054241674964;-9.957288721090253;-0.44358281703369185;8.015092;2.3145895;19.939556;2.21088;2.3539944
1;219.7840410419348;-61.07558906041284;;;;0.0;;20.893044;;
